ticker,chunk,raw,norm,conviction,layer,industry,momentum,flow,real_fields,data_source
2324.TW,3,5.0,4.09,C,9,,,neutral,0,simulated
2356.TW,3,5.0,4.09,C,9,,,neutral,0,simulated
2382.TW,3,5.44,6.43,B,3,Computer Hardware,-9.8,low_volume,7,simulated
3037.TW,3,5.0,4.09,C,9,,,neutral,0,simulated
3231.TW,3,5.78,8.24,B,3,Computer Hardware,-16.8,low_volume,7,simulated
3436.T,3,5.18,5.05,B,2,Semiconductor Equipment & Materials,-4.6,neutral,5,simulated
4062.T,3,5.39,6.16,B,2,Electronic Components,-4.5,neutral,6,simulated
4186.T,3,5.0,4.09,C,9,,,neutral,0,simulated
4938.TW,3,5.38,6.11,B,3,Computer Hardware,-12.0,neutral,6,simulated
5347.TW,3,5.0,4.09,C,9,,,neutral,0,simulated
5802.T,3,5.15,4.89,B,9,Auto Parts,-3.4,neutral,6,simulated
6146.T,3,5.0,4.09,C,9,,,neutral,0,simulated
6501.T,3,5.0,4.09,C,9,,,neutral,0,simulated
6669.TW,3,6.47,10.0,B,3,Computer Hardware,-70.5,elevated_volume,7,simulated
6723.T,3,5.0,4.09,C,9,,,neutral,0,simulated
6754.T,3,5.0,4.09,C,9,,,neutral,0,simulated
6857.T,3,5.31,5.74,B,2,Semiconductor Equipment & Materials,0.0,neutral,6,simulated
6920.T,3,5.0,4.09,C,9,,,neutral,0,simulated
6951.T,3,5.0,4.09,C,9,,,neutral,0,simulated
6967.T,3,5.0,4.09,C,9,,,neutral,0,simulated
6971.T,3,5.0,4.09,C,9,,,neutral,0,simulated
7731.T,3,4.98,3.98,B,9,Leisure,-7.5,neutral,5,simulated
7735.T,3,5.16,4.94,B,2,Semiconductor Equipment & Materials,0.0,neutral,6,simulated
7751.T,3,5.0,4.09,C,9,,,neutral,0,simulated
8035.T,3,5.0,4.09,C,9,,,neutral,0,simulated
A,3,5.0,4.09,C,9,,,neutral,0,simulated
AA,1,5.0,4.19,C,9,,,neutral,0,polygon
AACBU,1,5.0,4.19,C,9,,,neutral,0,polygon
AACG,1,5.0,4.19,C,9,,,neutral,0,polygon
AACI,3,5.0,4.09,C,9,,,neutral,0,polygon
AACIU,3,5.0,4.09,C,9,,,neutral,0,polygon
AACIW,3,5.18,5.05,B,9,,,elevated_volume,5,simulated
AACO,3,5.59,7.23,A,9,Shell Companies,,elevated_volume,5,finnhub
AACOU,1,5.0,4.19,C,9,,,neutral,0,polygon
AAME,1,5.0,4.19,C,9,,,neutral,0,polygon
AAOI,1,5.0,4.19,C,9,,,neutral,0,polygon
AAON,3,4.92,3.66,B,9,Building Products & Equipment,-7.7,neutral,7,simulated
AAPG,1,5.0,4.19,C,9,,,neutral,0,polygon
AAPL,1,5.87,9.9,A,6,Consumer Electronics,-5.5,neutral,7,polygon
AARD,3,5.0,4.09,C,9,,,neutral,0,polygon
AB,1,5.31,6.23,A,9,Asset Management,,neutral,5,polygon
ABAT,3,6.12,10.0,B,9,Waste Management,-72.5,low_volume,8,simulated
ABBNY,3,5.0,4.09,C,9,,,neutral,0,simulated
ABBV,1,5.0,4.19,C,9,,,neutral,0,polygon
ABCB,3,5.96,9.2,A,9,Banks - Regional,-1.5,dark_pool_buying,7,polygon
ABEO,1,5.2,5.51,A,9,Biotechnology,,neutral,6,polygon
ABLV,1,4.51,0.98,A,9,Specialty Retail,,low_volume,7,polygon
ABLVW,3,5.0,4.09,C,9,,,neutral,0,simulated
ABNB,1,5.0,4.19,A,9,Travel Services,-1.2,neutral,7,polygon
ABSI,1,5.0,4.19,C,9,,,neutral,0,finnhub
ABT,2,5.0,3.98,C,9,,,neutral,0,simulated
ABUS,3,5.0,4.09,C,9,,,neutral,0,finnhub
ABVEW,3,5.0,4.09,C,9,,,neutral,0,finnhub
ABX,1,5.2,5.51,A,9,Insurance - Life,,neutral,7,polygon
ACA,3,5.0,4.09,C,9,,,neutral,0,simulated
ACAA,1,5.0,4.19,C,9,,,neutral,0,polygon
ACAD,1,5.0,4.19,C,9,,,neutral,0,finnhub
ACDC,1,5.0,4.19,C,9,,,neutral,0,finnhub
ACGCU,3,5.0,4.09,C,9,,,neutral,0,finnhub
ACGL,1,5.0,4.19,C,9,,,neutral,0,finnhub
ACHV,1,5.0,4.19,C,9,,,neutral,0,polygon
ACI,1,5.0,4.19,C,9,,,neutral,0,polygon
ACIU,1,5.0,4.19,C,9,,,neutral,0,polygon
ACIW,3,5.0,4.09,C,9,,,neutral,0,simulated
ACLS,2,5.31,5.79,B,2,Semiconductor Equipment & Materials,-2.1,neutral,6,simulated
ACM,3,5.0,4.09,C,9,,,neutral,0,simulated
ACMR,1,5.18,5.37,A,2,Semiconductor Equipment & Materials,0.0,neutral,7,polygon
ACN,3,5.0,4.09,C,9,,,neutral,0,simulated
ACNB,3,4.84,3.23,B,9,Banks - Regional,-0.5,neutral,6,simulated
ACOG,3,5.0,4.09,C,9,,,neutral,0,finnhub
ACP,1,5.0,4.19,C,9,,,neutral,0,polygon
ACRE,3,5.0,4.09,C,9,,,neutral,0,finnhub
ACRS,1,5.19,5.44,A,9,Biotechnology,,elevated_volume,8,finnhub
ACT,3,5.0,4.09,C,9,,,neutral,0,polygon
ACTU,1,6.27,10.0,A,9,Biotechnology,-76.3,elevated_volume,6,finnhub
ACVA,3,5.0,4.09,C,9,,,neutral,0,simulated
ADAG,3,5.0,4.09,C,9,,,neutral,0,simulated
ADAMG,1,5.0,4.19,C,9,,,neutral,0,polygon
ADAMH,3,5.0,4.09,C,9,,,neutral,0,finnhub
ADAMM,3,5.0,4.09,C,9,,,neutral,0,polygon
ADAMO,1,5.18,5.37,A,9,,,elevated_volume,5,finnhub
ADBE,1,5.0,4.19,C,9,,,neutral,0,finnhub
ADCT,1,5.0,4.19,C,9,,,neutral,0,polygon
ADI,1,5.41,6.88,C,2,,,neutral,0,polygon
ADMA,1,5.0,4.19,C,9,,,neutral,0,polygon
ADP,1,5.35,6.49,C,6,,,neutral,0,polygon
ADPT,3,5.0,4.09,C,9,,,neutral,0,simulated
ADSK,1,5.0,4.19,C,9,,,neutral,0,polygon
ADT,1,5.0,4.19,C,9,,,neutral,0,finnhub
ADTN,1,5.0,4.19,C,9,,,neutral,0,polygon
ADTX,3,7.27,10.0,B,9,Biotechnology,-100.0,dark_pool_buying,8,simulated
ADUR,1,4.75,2.55,A,9,Pollution & Treatment Controls,-13.1,neutral,5,polygon
ADUS,1,5.0,4.19,A,9,Medical Care Facilities,,neutral,7,polygon
ADX,2,5.16,4.91,B,9,Asset Management,-1.3,neutral,6,simulated
AEAQ,1,5.0,4.19,C,9,,,neutral,0,polygon
AEAQU,1,5.0,4.19,C,9,,,neutral,0,polygon
AEE,1,5.42,6.95,A,1,Utilities - Regulated Electric,,neutral,6,polygon
AEF,1,5.0,4.19,C,9,,,neutral,0,polygon
AEHR,1,4.95,3.87,A,2,Semiconductor Equipment & Materials,-1.1,low_volume,8,polygon
AEI,1,5.0,4.19,C,9,,,neutral,0,polygon
AEIS,1,5.0,4.19,C,9,,,neutral,0,finnhub
AEM,1,5.0,4.19,C,9,,,neutral,0,finnhub
AEP,1,5.0,4.19,C,9,,,neutral,0,finnhub
AER,3,5.0,4.09,C,9,,,neutral,0,finnhub
AES,1,5.35,6.49,A,1,Utilities - Diversified,-14.4,neutral,7,polygon
AEXA,1,5.0,4.19,C,9,,,neutral,0,finnhub
AFGD,3,5.0,4.09,C,9,,,neutral,0,finnhub
AFRM,1,5.35,6.49,C,8,,,neutral,0,polygon
AFX.DE,3,5.0,4.09,C,9,,,neutral,0,simulated
AGAE,1,5.0,4.19,C,9,,,neutral,0,polygon
AGBK,1,5.0,4.19,C,9,,,neutral,0,polygon
AGCC,1,5.0,4.19,C,9,,,neutral,0,polygon
AGI,1,5.0,4.19,C,9,,,neutral,0,finnhub
AGIO,1,5.0,4.19,C,9,,,neutral,0,polygon
AGL,3,4.51,1.47,B,9,Medical Care Facilities,-2.0,low_volume,8,simulated
AGMB,1,5.32,6.29,A,9,Biotechnology,,elevated_volume,6,polygon
AGNCL,1,5.08,4.72,A,9,REIT - Mortgage,,neutral,5,polygon
AGNCN,1,5.08,4.72,A,9,REIT - Mortgage,,neutral,5,finnhub
AGPU,1,5.0,4.19,C,9,,,neutral,0,polygon
AI,1,5.41,6.88,C,5,,,neutral,0,polygon
AIFC,1,5.0,4.19,C,9,,,neutral,0,finnhub
AIHS,1,5.0,4.19,C,9,,,neutral,0,finnhub
AII,3,5.91,8.94,A,9,Insurance - Property & Casualty,-32.4,dark_pool_buying,7,finnhub
AIIOW,1,5.0,4.19,C,9,,,neutral,0,finnhub
AIMDW,1,5.0,4.19,C,9,,,neutral,0,polygon
AIN,1,4.75,2.55,A,9,Textile Manufacturing,,neutral,7,polygon
AIO,1,5.31,6.23,A,9,Asset Management,,neutral,5,polygon
AIQUY,3,5.0,4.09,C,9,,,neutral,0,simulated
AIRE,1,5.0,4.19,C,9,,,neutral,0,polygon
AIRG,1,5.0,4.19,C,9,,,neutral,0,polygon
AIRS,3,5.0,4.09,C,9,,,neutral,0,polygon
AIRT,1,5.0,4.19,C,9,,,neutral,0,polygon
AISP,1,5.0,4.19,C,9,,,neutral,0,polygon
