ticker,chunk,raw,chunk_norm,norm,percentile_rank,conviction,layer,industry,momentum,flow,real_fields,fundamentals_real_fields,fundamentals_quality,data_source,market_activity_source,market_activity_data_type,options_premium_is_real,dark_pool_data_is_real,global_ranking_status
2324.TW,3,5.82,9.38,9.2,94.1,B,3,Computer Hardware,-22.2,low_volume,5,5,substantial,simulated,simulated,neutral_default,False,False,recomputed
2356.TW,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
2382.TW,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
3037.TW,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
3231.TW,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
3436.T,3,5.18,5.32,5.25,75.3,B,2,Semiconductor Equipment & Materials,0.0,neutral,5,5,substantial,simulated,simulated,neutral_default,False,False,recomputed
4062.T,3,5.56,7.73,7.59,89.4,B,2,Electronic Components,-23.2,neutral,6,6,high,simulated,simulated,neutral_default,False,False,recomputed
4186.T,3,5.75,8.93,8.76,93.4,B,2,Electronic Components,-10.5,neutral,6,6,high,simulated,simulated,neutral_default,False,False,recomputed
4938.TW,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
5347.TW,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
5802.T,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
6146.T,3,5.54,7.6,7.47,89.1,B,2,Semiconductor Equipment & Materials,-18.0,neutral,6,6,high,simulated,simulated,neutral_default,False,False,recomputed
6501.T,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
6669.TW,3,5.27,5.89,5.8,78.8,B,3,Computer Hardware,-10.4,neutral,6,6,high,simulated,simulated,neutral_default,False,False,recomputed
6723.T,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
6754.T,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
6857.T,3,5.39,6.65,6.54,84.3,B,2,Semiconductor Equipment & Materials,-16.9,neutral,6,6,high,simulated,simulated,neutral_default,False,False,recomputed
6920.T,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
6951.T,3,5.0,4.18,4.14,6.2,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
6967.T,3,5.23,5.63,5.56,76.7,C,9,,,neutral,0,0,none,simulated,simulated,neutral_default,False,False,recomputed
