ticker,chunk,raw,norm,conviction,layer,industry,momentum,flow,real_fields,data_source
2324.TW,3,5.0,4.12,C,9,,,neutral,0,simulated
2356.TW,3,5.0,4.12,C,9,,,neutral,0,simulated
2382.TW,3,5.21,5.36,B,3,Computer Hardware,nan,low_volume,7,simulated
3037.TW,3,5.0,4.12,C,9,,,neutral,0,simulated
3231.TW,3,5.0,4.12,C,9,,,neutral,0,simulated
3436.T,3,5.0,4.12,C,9,,,neutral,0,simulated
4062.T,3,5.39,6.42,B,2,Electronic Components,nan,neutral,6,simulated
4186.T,3,5.75,8.54,B,2,Electronic Components,nan,neutral,6,simulated
4938.TW,3,5.0,4.12,C,9,,,neutral,0,simulated
5347.TW,3,5.0,4.12,C,9,,,neutral,0,simulated
5802.T,3,5.0,4.12,C,9,,,neutral,0,simulated
6146.T,3,5.0,4.12,C,9,,,neutral,0,simulated
6501.T,3,5.0,4.12,C,9,,,neutral,0,simulated
6669.TW,3,5.0,4.12,C,9,,,neutral,0,simulated
6723.T,3,5.0,4.12,C,9,,,neutral,0,simulated
6754.T,3,5.0,4.12,C,9,,,neutral,0,simulated
6857.T,3,5.0,4.12,C,9,,,neutral,0,simulated
6920.T,3,5.0,4.12,C,9,,,neutral,0,simulated
6951.T,3,5.0,4.12,C,9,,,neutral,0,simulated
6967.T,3,5.0,4.12,C,9,,,neutral,0,simulated
6971.T,3,4.98,4.0,B,9,Conglomerates,nan,neutral,5,simulated
7731.T,3,5.23,5.47,B,9,Leisure,nan,neutral,5,simulated
7735.T,3,5.0,4.12,C,9,,,neutral,0,simulated
7751.T,3,5.0,4.12,C,9,,,neutral,0,simulated
8035.T,3,5.63,7.83,B,2,Semiconductor Equipment & Materials,nan,elevated_volume,7,simulated
A,3,5.0,4.12,C,9,,,neutral,0,simulated
AA,1,5.18,5.19,A,9,Aluminum,-25.4,neutral,7,polygon
AACBU,1,5.0,4.09,C,9,,,neutral,0,polygon
AACG,1,5.61,7.8,A,9,Education & Training Services,-62.1,low_volume,8,polygon
AACI,3,5.59,7.6,A,9,Shell Companies,0.0,elevated_volume,6,finnhub
AACIU,3,5.0,4.12,C,9,,,neutral,0,polygon
AACIW,3,5.0,4.12,C,9,,,neutral,0,simulated
AACO,3,5.22,5.42,A,9,Shell Companies,,low_volume,5,finnhub
AACOU,1,5.0,4.09,C,9,,,neutral,0,polygon
AAME,1,5.0,4.09,C,9,,,neutral,0,polygon
AAOI,1,5.51,7.19,A,3,Communication Equipment,-20.7,neutral,7,polygon
AAON,3,5.0,4.12,C,9,,,neutral,0,simulated
AAPG,1,5.0,4.09,C,9,,,neutral,0,polygon
AAPL,1,5.35,6.22,C,6,,,neutral,0,polygon
AARD,3,5.0,4.12,C,9,,,neutral,0,finnhub
AB,1,5.0,4.09,C,9,,,neutral,0,polygon
ABAT,3,6.22,10.0,B,9,Waste Management,-71.8,neutral,7,simulated
ABBNY,3,5.51,7.13,B,9,Electrical Equipment & Parts,-3.0,elevated_volume,8,simulated
ABBV,1,5.31,5.98,A,9,Drug Manufacturers - General,-7.6,neutral,7,polygon
ABCB,3,5.0,4.12,C,9,,,neutral,0,polygon
ABEO,1,5.0,4.09,C,9,,,neutral,0,finnhub
ABLV,1,4.6,1.66,A,9,Specialty Retail,-10.6,neutral,7,polygon
ABLVW,3,5.0,4.12,C,9,,,neutral,0,simulated
